IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
38.83.41.89,28138,TRUE,LAX,North America,Los Angeles,180 ms,9887 kB/s
148.135.66.214,55555,TRUE,LAX,North America,Los Angeles,183 ms,9848 kB/s
104.168.87.155,5432,TRUE,SJC,North America,San Jose,181 ms,9845 kB/s
107.175.63.224,20061,TRUE,SJC,North America,San Jose,183 ms,9837 kB/s
68.167.5.22,25212,TRUE,LAX,North America,Los Angeles,176 ms,9829 kB/s
193.93.55.167,8000,TRUE,LAX,North America,Los Angeles,176 ms,9808 kB/s
38.83.41.89,28080,TRUE,LAX,North America,Los Angeles,191 ms,9797 kB/s
38.69.247.31,587,TRUE,LAX,North America,Los Angeles,183 ms,9794 kB/s
192.3.86.244,587,TRUE,LAX,North America,Los Angeles,183 ms,9792 kB/s
66.92.166.244,25212,TRUE,LAX,North America,Los Angeles,211 ms,9774 kB/s
142.171.135.170,4343,TRUE,LAX,North America,Los Angeles,177 ms,9724 kB/s
207.126.167.16,10442,TRUE,LAX,North America,Los Angeles,181 ms,9696 kB/s
66.92.166.225,25212,TRUE,LAX,North America,Los Angeles,203 ms,9695 kB/s
107.175.53.115,20080,TRUE,SJC,North America,San Jose,184 ms,9667 kB/s
66.92.166.228,25212,TRUE,LAX,North America,Los Angeles,210 ms,9662 kB/s
143.20.106.64,25212,TRUE,LAX,North America,Los Angeles,199 ms,9644 kB/s
143.20.106.70,25212,TRUE,LAX,North America,Los Angeles,210 ms,9637 kB/s
142.171.220.62,16097,TRUE,LAX,North America,Los Angeles,178 ms,9620 kB/s
142.171.108.18,27010,TRUE,LAX,North America,Los Angeles,176 ms,9586 kB/s
142.171.118.71,10019,TRUE,LAX,North America,Los Angeles,172 ms,9527 kB/s
142.171.225.216,5223,TRUE,LAX,North America,Los Angeles,178 ms,9521 kB/s
23.94.100.111,7443,TRUE,SJC,North America,San Jose,181 ms,9512 kB/s
104.194.66.75,33444,TRUE,LAX,North America,Los Angeles,172 ms,9509 kB/s
23.95.230.16,9443,TRUE,SJC,North America,San Jose,187 ms,9436 kB/s
148.135.118.94,17877,TRUE,LAX,North America,Los Angeles,192 ms,9403 kB/s
142.171.220.62,16661,TRUE,LAX,North America,Los Angeles,171 ms,9394 kB/s
104.168.87.155,3306,TRUE,SJC,North America,San Jose,184 ms,9346 kB/s
142.171.220.62,16010,TRUE,LAX,North America,Los Angeles,181 ms,9331 kB/s
142.171.220.62,16444,TRUE,LAX,North America,Los Angeles,188 ms,9256 kB/s
173.242.118.156,8001,TRUE,LAX,North America,Los Angeles,173 ms,9192 kB/s
38.83.41.89,28017,TRUE,LAX,North America,Los Angeles,178 ms,9122 kB/s
143.20.106.26,25212,TRUE,LAX,North America,Los Angeles,182 ms,9071 kB/s
54.193.53.75,10002,TRUE,SJC,North America,San Jose,185 ms,9057 kB/s
173.242.123.19,18443,TRUE,LAX,North America,Los Angeles,171 ms,8995 kB/s
209.178.233.12,25212,TRUE,LAX,North America,Los Angeles,206 ms,8988 kB/s
144.34.232.245,30000,TRUE,LAX,North America,Los Angeles,174 ms,8967 kB/s
38.6.219.16,8080,TRUE,HKG,Asia Pacific,Hong Kong,33 ms,8893 kB/s
66.92.166.204,25212,TRUE,LAX,North America,Los Angeles,205 ms,8879 kB/s
143.20.106.52,25212,TRUE,LAX,North America,Los Angeles,197 ms,8865 kB/s
66.92.166.230,25212,TRUE,LAX,North America,Los Angeles,210 ms,8854 kB/s
68.167.5.77,25212,TRUE,LAX,North America,Los Angeles,206 ms,8833 kB/s
142.171.220.62,16001,TRUE,LAX,North America,Los Angeles,175 ms,8828 kB/s
66.92.166.222,25212,TRUE,LAX,North America,Los Angeles,200 ms,8823 kB/s
143.20.106.16,25212,TRUE,LAX,North America,Los Angeles,199 ms,8818 kB/s
67.218.135.8,54321,TRUE,LAX,North America,Los Angeles,200 ms,8812 kB/s
68.167.5.80,25212,TRUE,LAX,North America,Los Angeles,211 ms,8811 kB/s
68.167.5.48,25212,TRUE,LAX,North America,Los Angeles,209 ms,8808 kB/s
143.20.106.78,25212,TRUE,LAX,North America,Los Angeles,201 ms,8787 kB/s
143.20.106.104,25212,TRUE,LAX,North America,Los Angeles,204 ms,8780 kB/s
66.92.166.189,25212,TRUE,LAX,North America,Los Angeles,200 ms,8771 kB/s
143.20.106.56,25212,TRUE,LAX,North America,Los Angeles,209 ms,8763 kB/s
66.92.166.254,25212,TRUE,LAX,North America,Los Angeles,210 ms,8727 kB/s
66.92.166.240,25212,TRUE,LAX,North America,Los Angeles,200 ms,8696 kB/s
143.20.106.9,25212,TRUE,LAX,North America,Los Angeles,209 ms,8667 kB/s
68.167.5.46,25212,TRUE,LAX,North America,Los Angeles,198 ms,8654 kB/s
64.64.249.39,587,TRUE,LAX,North America,Los Angeles,174 ms,8622 kB/s
192.3.150.56,8000,TRUE,SEA,North America,Seattle,199 ms,8612 kB/s
